DNB URL,info,year,country,revenue
https://www.dnb.com/business-directory/company-profiles.build_technology_supply_sdn_bhd.2aa3e7519c95ed31c6811b8d490df7c1.html,"BUILD TECHNOLOGY SUPPLY SDN. BHD. is located in PETALING JAYA, Selangor, Malaysia and is part of the Professional and Commercial Equipment and Supplies Merchant Wholesalers Industry. BUILD TECHNOLOGY SUPPLY SDN. BHD. has 13 total employees across all of its locations. (Employees figure is modelled). ",2003,Malaysia,
https://www.dnb.com/business-directory/company-profiles.kds_consulting_sdn_bhd.51af7fbd0e7c0fd6de52e646517aac20.html,"KDS CONSULTING SDN. BHD. is located in PUCHONG, Selangor, Malaysia and is part of the Computer Systems Design and Related Services Industry. KDS CONSULTING SDN. BHD. has 10 total employees across all of its locations. (Employees figure is estimated). ",,Malaysia,
https://www.dnb.com/business-directory/company-profiles.kg_information_systems_sdn_bhd.776dbb3ba075e8748b7ae8e05f830f7d.html,"KG INFORMATION SYSTEMS SDN. BHD. is located in KUALA LUMPUR, Kuala Lumpur, Malaysia and is part of the Computer Systems Design and Related Services Industry. KG INFORMATION SYSTEMS SDN. BHD. has 41 total employees across all of its locations. (Employees figure is modelled). There are 11 companies in the KG INFORMATION SYSTEMS SDN. BHD. corporate family.",2013,Malaysia,
https://www.dnb.com/business-directory/company-profiles.olive_technologies_sdn_bhd.53962e25d82a5cbd9351c65a228efec5.html,"OLIVE TECHNOLOGIES SDN. BHD. is located in KUALA LUMPUR, Kuala Lumpur, Malaysia and is part of the Computer Systems Design and Related Services Industry. OLIVE TECHNOLOGIES SDN. BHD. has 20 total employees across all of its locations. (Employees figure is estimated). ",,Malaysia,
https://www.dnb.com/business-directory/company-profiles.phitomas_sdn_bhd.81b02b5e869476c642c686512e201b65.html,"PHITOMAS SDN. BHD. is located in PETALING JAYA, Selangor, Malaysia and is part of the Professional and Commercial Equipment and Supplies Merchant Wholesalers Industry. PHITOMAS SDN. BHD. has 50 total employees across all of its locations. (Employees figure is estimated). ",,Malaysia,
https://www.dnb.com/business-directory/company-profiles.awanbiru_technology_berhad.63e5bfd5ad048c6720ad2e16f8bb4f59.html,"AWANBIRU TECHNOLOGY BERHAD is located in Cyberjaya, Selangor, Malaysia and is part of the Wired and Wireless Telecommunications Carriers Industry. AWANBIRU TECHNOLOGY BERHAD has 300 total employees across all of its locations. (Employees figure is estimated). There are 2 companies in the AWANBIRU TECHNOLOGY BERHAD corporate family.",2010,Malaysia,
https://www.dnb.com/business-directory/company-profiles.pulsifi_sdn_bhd.8f62755f57204071945696b76cc99365.html,"PULSIFI SDN. BHD. is located in KUALA LUMPUR, Kuala Lumpur, Malaysia and is part of the Computer Systems Design and Related Services Industry. PULSIFI SDN. BHD. has 18 total employees across all of its locations. (Employees figure is modelled). ",,Malaysia,
https://www.dnb.com/business-directory/company-profiles.selatan_business_solutions_sdn_bhd.be25598069b7c0875d52ebfb50950461.html,"SELATAN BUSINESS SOLUTIONS SDN. BHD. is located in Pulau Pinang, Malaysia. SELATAN BUSINESS SOLUTIONS SDN. BHD. has 15 total employees across all of its locations. (Employees figure is modelled). ",,Malaysia,
https://www.dnb.com/business-directory/company-profiles.strateq_systems_sdn_bhd.178a00857bb28e82c69d403ef5e105af.html,"STRATEQ SYSTEMS SDN. BHD. is located in PETALING JAYA, Selangor, Malaysia and is part of the Computer Systems Design and Related Services Industry. STRATEQ SYSTEMS SDN. BHD. has 100 total employees across all of its locations. (Employees figure is estimated). There are 8 companies in the STRATEQ SYSTEMS SDN. BHD. corporate family.",1983,Malaysia,
https://www.dnb.com/business-directory/company-profiles.turnkey_consulting_malaysia_sdn_bhd.a882ae53a7e254afab4ec7c84a12970e.html,"TURNKEY CONSULTING MALAYSIA SDN. BHD. is located in KUALA LUMPUR, Kuala Lumpur, Malaysia and is part of the Management, Scientific, and Technical Consulting Services Industry. TURNKEY CONSULTING MALAYSIA SDN. BHD. has 7 total employees across all of its locations. (Employees figure is estimated). ",,Malaysia,
https://www.dnb.com/business-directory/company-profiles.wilmar_gbs_sdn_bhd.c9446147bde9e28bdacf1cef28119b87.html,"WILMAR GBS SDN. BHD. is located in BAYAN LEPAS, Pulau Pinang, Malaysia and is part of the Accounting, Tax Preparation, Bookkeeping, and Payroll Services Industry. WILMAR GBS SDN. BHD. has 9 total employees across all of its locations. (Employees figure is modelled). There are 323 companies in the WILMAR GBS SDN. BHD. corporate family.",2012,Malaysia,
https://www.dnb.com/business-directory/company-profiles.cognizant_technology_solutions_corporation.91585fe865f41cf63c2fe51669feb531.html,"Cognizant Technology Solutions is aware of the desire to shift business processes to digital technologies and it wants to help. To help customers make the switch, the information technology outsourcing company provides intelligent systems, automation, cloud technologies, and cyber security tools. Cognizant also offers digital services and solutions, consulting, application development, systems integration, application testing, application maintenance, infrastructure services and business process services. The company targets companies in financial services, health care, manufacturing, retail, and logistics as well as communications and media. Most of Cognizant's software development centers and employees are in India. Most of the company's revenue is generated in North America.",1988,United States,
https://www.dnb.com/business-directory/company-profiles.persistent_systems_inc.be6f50d1120a27c57f3bf12aa5416948.html,"Persistent Systems Inc. is located in Santa Clara, CA, United States and is part of the Computer Systems Design and Related Services Industry. Persistent Systems Inc. has 930 total employees across all of its locations and generates $172.06 million in sales (USD). (Sales figure is modelled). There are 60 companies in the Persistent Systems Inc. corporate family.",2001,United States,172.06
